파일명,클러스터,구간-시작(초),구간-종료(초),최소 주파수(Hz),최대 주파수(Hz),최빈값(Hz),최대 진폭(dB SPL)
1008.wav,0,0.35,0.49,224.77,224.77,224.77,61.01
1016.wav,12,0.49,0.70,402.06,402.06,402.06,67.47
1031.wav,0,0.09,0.21,195.22,195.22,195.22,60.71
1038.wav,0,0.37,0.46,933.94,933.94,933.94,73.07
1039.wav,2,0.02,0.88,1228.91,1228.91,1228.91,62.97
1041.wav,0,0.58,0.72,1210.32,1210.32,1210.32,72.93
1045.wav,0,0.09,0.19,475.93,475.93,475.93,68.26
1057.wav,1,0.39,1.00,800.97,800.97,800.97,64.39
1059.wav,4,0.05,0.65,653.22,653.22,653.22,65.30
1061.wav,0,0.72,0.84,800.97,800.97,800.97,66.45
1062.wav,1,0.21,0.46,845.29,845.29,845.29,64.39
1074.wav,0,0.60,0.93,1666.71,1666.71,1666.71,67.00
1075.wav,0,0.14,0.98,1616.69,1616.69,1616.69,68.27
1077.wav,0,0.30,0.53,1306.13,1306.13,1306.13,70.47
1080.wav,1,0.16,0.77,1174.00,1174.00,1174.00,79.70
1091.wav,1,0.63,0.84,1174.00,1174.00,1174.00,75.86
1092.wav,0,0.19,0.44,1266.93,1266.93,1266.93,71.33
1106.wav,1,0.26,0.86,136.12,136.12,136.12,87.55
1107.wav,4,0.53,0.72,136.12,136.12,136.12,87.55
1108.wav,3,0.51,0.88,106.57,106.57,106.57,92.79
1110.wav,0,0.39,0.63,106.57,106.57,106.57,61.06
1112.wav,0,0.44,0.79,91.80,91.80,91.80,69.42
1118.wav,0,0.00,0.26,121.35,121.35,121.35,64.18
1120.wav,0,0.72,0.81,136.12,136.12,136.12,65.57
1121.wav,0,0.26,0.35,91.80,91.80,91.80,63.76
1122.wav,0,0.79,0.95,77.03,77.03,77.03,60.85
1123.wav,8,0.00,0.74,195.22,195.22,195.22,75.17
1125.wav,12,0.53,0.91,239.54,239.54,239.54,84.05
1127.wav,0,0.21,0.63,91.80,91.80,91.80,63.29
1128.wav,0,0.60,0.74,106.57,106.57,106.57,63.04
1130.wav,4,0.02,0.28,121.35,121.35,121.35,81.97
1132.wav,2,0.33,0.86,91.80,91.80,91.80,96.29
1133.wav,4,0.05,0.88,136.12,136.12,136.12,65.68
1134.wav,0,0.12,0.21,106.57,106.57,106.57,70.55
1135.wav,1,0.56,0.98,91.80,91.80,91.80,86.47
1139.wav,0,0.77,0.93,77.03,77.03,77.03,74.31
1141.wav,0,0.35,0.95,121.35,121.35,121.35,61.62
1143.wav,1,0.44,0.93,91.80,91.80,91.80,87.27
1146.wav,0,0.56,0.86,91.80,91.80,91.80,63.02
1147.wav,1,0.30,0.51,77.03,77.03,77.03,82.62
1148.wav,0,0.49,0.84,106.57,106.57,106.57,77.07
1149.wav,0,0.00,0.09,106.57,106.57,106.57,62.89
1151.wav,0,0.00,0.56,91.80,91.80,91.80,76.22
1154.wav,5,0.12,1.00,136.12,136.12,136.12,76.65
1155.wav,2,0.00,1.00,91.80,91.80,91.80,90.55
1156.wav,1,0.00,0.98,77.03,77.03,77.03,86.64
1157.wav,3,0.00,1.00,106.57,106.57,106.57,88.59
1158.wav,0,0.00,0.93,62.25,62.25,62.25,61.27
1159.wav,0,0.00,1.00,62.25,62.25,62.25,70.73
1160.wav,0,0.00,0.74,62.25,62.25,62.25,86.09
1161.wav,4,0.05,1.00,106.57,106.57,106.57,101.98
1162.wav,0,0.00,0.91,106.57,106.57,106.57,58.64
1163.wav,1,0.09,0.98,121.35,121.35,121.35,60.89
1164.wav,1,0.02,0.93,106.57,106.57,106.57,65.05
1165.wav,0,0.09,0.98,106.57,106.57,106.57,58.45
1166.wav,0,0.02,0.58,121.35,121.35,121.35,63.43
1167.wav,2,0.05,0.53,239.54,239.54,239.54,54.90
1168.wav,2,0.09,0.98,136.12,136.12,136.12,55.83
1169.wav,1,0.02,0.98,121.35,121.35,121.35,63.76
1170.wav,5,0.00,0.84,209.99,209.99,209.99,59.21
1171.wav,0,0.02,0.95,91.80,91.80,91.80,58.18
1172.wav,0,0.00,1.00,106.57,106.57,106.57,61.04
1173.wav,8,0.00,0.98,209.99,209.99,209.99,66.30
1174.wav,10,0.00,0.98,239.54,239.54,239.54,64.70
1175.wav,2,0.02,1.00,121.35,121.35,121.35,72.79
1176.wav,2,0.00,1.00,106.57,106.57,106.57,70.63
1177.wav,2,0.00,1.00,106.57,106.57,106.57,69.76
1178.wav,3,0.00,0.95,121.35,121.35,121.35,79.76
